[NOUVEAU PROFIL];
NOM;Dupond
PRENOM;Germain
DATE NAISSANCE;1982-03-26
NUMERO SECURITE SOCIALE;348236457129365
TELEPHONE;0236985478
EMAIL;germain@gvieux.fr
ADRESSE;12 rue de la guerre Paris
SALAIRE;56000
DATE DEBUT;2011-01-01
DATE FIN;2011-12-31
CADRE;oui
SALARIE;non
[NOUVEAU PROFIL];
NOM;Lance
PRENOM;Erwann
DATE NAISSANCE;1956-02-16
NUMERO SECURITE SOCIALE;83623453623451
TELEPHONE;0361239853
EMAIL;erwann@gvieux.fr
ADRESSE;56, rue de la paix Paris
SALAIRE;27000
DATE DEBUT;2011-01-31
DATE FIN;2011-06-31
CADRE;non
SALARIE;oui
